"PK","SK","breakEarlyPaidRate","breakEarlyPaidType","breakOvertimeDedcutType","breakOvertimeDeductRate","breakOvertimeQuotaMinute","breakOvertimeQuotaType","breakOvertimeType","breakPolicy","dependencies","employeeAllowSexList","employeeAllowTypeList","employeePercent","employeeType","employerPercent","hexColorList","holidayID","holidayName","holidayYear","id","income40Type","incomeExpenseType","incomeOrExpense","isActive","isBreakEarly","isBreakEarlyDiligent","isBreakEarlyPaid","isBreakOvertime","isBreakOvertimeDeduct","isBreakOvertimeDiligent","isCompound","isCountProbation","isExceedQuota","isLeaveAfterhand","isLeaveBeforehand","isLeaveCompound","isLeaveDiligent","isLeaveOnce","isLookupNotWorkday","isWorkInEarly","isWorkInEarlyDiligent","isWorkInEarlyPaid","isWorkInLate","isWorkInLateDeduct","isWorkInLateDiligent","isWorkOutEarly","isWorkOutEarlyDeduct","isWorkOutEarlyDiligent","isWorkOutLate","isWorkOutLateDiligent","isWorkOutLatePaid","isWorkOutLatePaidRate","isWorkOutLatePaidType","leaveAmountType","leaveBeforehandDay","leaveCompoundType","leaveConfigType","leaveQuotaList","maxBreakEarlyMinute","maxBreakOvertimeMinute","maxLeaveCompound","maxWorkInEarlyMinute","maxWorkInLateMinute","maxWorkInLateType","maxWorkOutEarlyMinute","maxWorkOutLateMinute","name","overtimeAfterMinute","overtimeBeforeMinute","overtimeDay","overtimeDayStatus","overtimeMonth","overtimeMonthStatus","overtimeMultiplyType","overtimeRoundFloor","overtimeRoundHour","overtimeRoundType","period1Day","periodCount","periodStart","resetLeaveDay","roundType","shiftColorIndex","shiftID","shiftName","status","Type","__typename","variableOrFixed","welfareID","welfareQuotaList","workDayPolicy","workInEarlyPaidRate","workInEarlyPaidType","workingDayCount","workingDayCountNewEmployee","workingHourDivisor","workInLateDeductRate","workInLateDeductType","workInLateQuotaMinute","workInLateQuotaType","workOutEarlyDeductRate","workOutEarlyDeductType","WorkOutEarlyQuotaMinute","WorkOutEarlyQuotaType","workOutEarlyType","workOutLateQuotaType","workType"
"LINKLOOK|LEAVE_CONFIG","LINKLOOK|LEAVE_CONFIG|LC1001","","","","","","","","","","[{""S"":""MALE""},{""S"":""FEMALE""}]","[{""S"":""FULLTIME_MONTH""},{""S"":""FULLTIME_DAY""}]","","","","","","","","LC1001","","","","true","","","","","","","","false","true","false","false","false","false","false","false","","","","","","","","","","","","","","","PER_YEAR","","","BY_LAW","[{""M"":{""maxLeavePaidDay"":{""N"":""30""},""workMonthExperience"":{""N"":""0""},""quotaLeaveDay"":{""N"":""30""}}}]","","","","","","","","","ลาป่วย","","","","","","","","","","","","","","","","","","","","","LeaveConfig","","","","","","","","","","","","","","","","","","","",""
"LINKLOOK|LEAVE_CONFIG","LINKLOOK|LEAVE_CONFIG|LC1002","","","","","","","","","","[{""S"":""FEMALE""}]","[{""S"":""FULLTIME_MONTH""},{""S"":""FULLTIME_DAY""}]","","","","","","","","LC1002","","","","true","","","","","","","","false","false","false","true","false","true","false","false","","","","","","","","","","","","","","","PER_YEAR","30","","BY_LAW","[{""M"":{""maxLeavePaidDay"":{""N"":""45""},""workMonthExperience"":{""N"":""12""},""quotaLeaveDay"":{""N"":""90""}}}]","","","","","","","","","ลาคลอด","","","","","","","","","","","","","","","","","","","","","LeaveConfig","","","","","","","","","","","","","","","","","","","",""
"LINKLOOK|LEAVE_CONFIG","LINKLOOK|LEAVE_CONFIG|LC1003","","","","","","","","","","[{""S"":""MALE""}]","[{""S"":""FULLTIME_MONTH""},{""S"":""FULLTIME_DAY""}]","","","","","","","","LC1003","","","","true","","","","","","","","false","false","false","true","false","false","true","true","","","","","","","","","","","","","","","WORK_LIFE","30","","BY_LAW","[{""M"":{""maxLeavePaidDay"":{""N"":""45""},""workMonthExperience"":{""N"":""12""},""quotaLeaveDay"":{""N"":""90""}}}]","","","","","","","","","ลาบวช","","","","","","","","","","","","","","","","","","","","","LeaveConfig","","","","","","","","","","","","","","","","","","","",""
"LINKLOOK|LEAVE_CONFIG","LINKLOOK|LEAVE_CONFIG|LC1004","","","","","","","","","","[{""S"":""MALE""},{""S"":""FEMALE""}]","[{""S"":""FULLTIME_MONTH""},{""S"":""FULLTIME_DAY""}]","","","","","","","","LC1004","","","","true","","","","","","","","false","false","false","true","false","true","false","false","","","","","","","","","","","","","","","PER_YEAR","30","","BY_LAW","[{""M"":{""maxLeavePaidDay"":{""N"":""2""},""workMonthExperience"":{""N"":""12""},""quotaLeaveDay"":{""N"":""2""}}}]","","","","","","","","","ลาทำหมัน","","","","","","","","","","","","","","","","","","","","","LeaveConfig","","","","","","","","","","","","","","","","","","","",""
"LINKLOOK|LEAVE_CONFIG","LINKLOOK|LEAVE_CONFIG|LC1005","","","","","","","","","","[{""S"":""MALE""}]","[{""S"":""FULLTIME_MONTH""},{""S"":""FULLTIME_DAY""}]","","","","","","","","LC1005","","","","true","","","","","","","","false","false","false","true","false","true","false","false","","","","","","","","","","","","","","","PER_YEAR","30","","BY_LAW","[{""M"":{""maxLeavePaidDay"":{""N"":""5""},""workMonthExperience"":{""N"":""12""},""quotaLeaveDay"":{""N"":""5""}}}]","","","","","","","","","ลารับราชการทหาร","","","","","","","","","","","","","","","","","","","","","LeaveConfig","","","","","","","","","","","","","","","","","","","",""
"LINKLOOK|LEAVE_CONFIG","LINKLOOK|LEAVE_CONFIG|LC1006","","","","","","","","","","[{""S"":""MALE""},{""S"":""FEMALE""}]","[{""S"":""FULLTIME_MONTH""},{""S"":""FULLTIME_DAY""}]","","","","","","","","LC1006","","","","true","","","","","","","","false","true","false","true","false","true","false","false","","","","","","","","","","","","","","","PER_YEAR","3","","BY_LAW","[{""M"":{""maxLeavePaidDay"":{""N"":""4""},""workMonthExperience"":{""N"":""0""},""quotaLeaveDay"":{""N"":""4""}}}]","","","","","","","","","ลากิจ","","","","","","","","","","","","","","","","","","","","","LeaveConfig","","","","","","","","","","","","","","","","","","","",""
"LINKLOOK|LEAVE_CONFIG","LINKLOOK|LEAVE_CONFIG|LC1007","","","","","","","","","","[{""S"":""MALE""},{""S"":""FEMALE""}]","[{""S"":""FULLTIME_MONTH""},{""S"":""FULLTIME_DAY""}]","","","","","","","","LC1007","","","","true","","","","","","","","false","false","false","true","true","false","false","false","","","","","","","","","","","","","","","PER_YEAR","3","HALF","BY_LAW","[{""M"":{""maxLeavePaidDay"":{""N"":""6""},""workMonthExperience"":{""N"":""12""},""quotaLeaveDay"":{""N"":""6""}}},{""M"":{""maxLeavePaidDay"":{""N"":""8""},""workMonthExperience"":{""N"":""72""},""quotaLeaveDay"":{""N"":""8""}}},{""M"":{""maxLeavePaidDay"":{""N"":""10""},""workMonthExperience"":{""N"":""120""},""quotaLeaveDay"":{""N"":""10""}}}]","","","8","","","","","","ลาพักร้อน","","","","","","","","","","","","","","","","","","","","","LeaveConfig","","","","","","","","","","","","","","","","","","","",""
"LINKLOOK|LEAVE_CONFIG","LINKLOOK|LEAVE_CONFIG|LC2001","","","","","","","","","","[{""S"":""MALE""},{""S"":""FEMALE""}]","[{""S"":""FULLTIME_MONTH""},{""S"":""FULLTIME_DAY""}]","","","","","","","","LC2001","","","","true","","","","","","","","false","false","false","false","false","false","true","false","","","","","","","","","","","","","","","PER_YEAR","","","BY_COMPANY","[{""M"":{""maxLeavePaidDay"":{""N"":""7""},""workMonthExperience"":{""N"":""0""},""quotaLeaveDay"":{""N"":""7""}}}]","","","","","","","","","ลาถึงแก่กรรมของครอบครัว","","","","","","","","","","","","","","","","","","","","","LeaveConfig","","","","","","","","","","","","","","","","","","","",""
"LINKLOOK|SOCIAL_SECURITY","SOCIAL_SECURITY","","","","","","","","","[{""S"":""A""},{""S"":""C1""},{""S"":""D|ค่าตำแหน่ง""}]","","","5","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACTIVE","SOCIAL_SECURITY","SocialSecurityConfig","","","","","","","","","","","","","","","","","","","",""
"LINKLOOK|ATTENDANCE_CONFIG","ATTENDANCE_CONFIG","0.5","MULTIPLE","MULTIPLE","0.5","10","MINUTE_PER_DAY","NOT_EXCEED","","","","","","","","","","","","","","","","","true","true","true","true","true","true","","","","","","","","","","true","true","true","true","true","true","true","true","true","true","true","true","0.5","MULTIPLE","","","","","","15","30","","15","50","NOT_EXCEED","60","15","","","","","","","","","","","","","","","","","","","","","","ATTENDANCE_CONFIG","","","","","0.5","MULTIPLE","","","","0.5","MULTIPLE","30","MINUTE_PER_DAY","0.5","MULTIPLE","50","MINUTE_PER_DAY","NOT_EXEED","MINUTE_PER_DAY",""
"LINKLOOK|SHIFT_COLOR","SHIFT_COLOR","","","","","","","","","","","","","","","[{""S"":""#7d2c2c""},{""S"":""#00ff04""},{""S"":""#29b027""},{""S"":""#c36565""}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SHIFT_COLOR","SHIFT_COLOR","","","","","","","","","","","","","","","","","","","",""
"LINKLOOK|SHIFT","SHIFT|667cd6e9-432a-4202-baba-664e0a73e5ee","","","","","","","","[{""M"":{""dayList"":{""L"":[{""N"":""1""},{""N"":""2""},{""N"":""3""},{""N"":""4""},{""N"":""5""},{""N"":""6""}]},""timeList"":{""L"":[{""M"":{""startTime"":{""S"":""12:00""},""endTime"":{""S"":""13:00""},""isScanEnd"":{""BOOL"":true},""isScanStart"":{""BOOL"":false}}}]}}}]","","","","","[{""S"":""FULLTIME_MONTH""},{""S"":""FULLTIME_DAY""}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","667cd6e9-432a-4202-baba-664e0a73e5ee","Shift 1","","SHIFT","SHIFT","","","","[{""M"":{""dayList"":{""L"":[{""N"":""1""},{""N"":""2""},{""N"":""3""},{""N"":""4""},{""N"":""5""}]},""timeList"":{""L"":[{""M"":{""startTime"":{""S"":""08:00""},""endTime"":{""S"":""17:00""},""isScanEnd"":{""BOOL"":true},""isScanStart"":{""BOOL"":true}}}]}}},{""M"":{""dayList"":{""L"":[{""N"":""6""}]},""timeList"":{""L"":[{""M"":{""startTime"":{""S"":""08:00""},""endTime"":{""S"":""15:00""},""isScanEnd"":{""BOOL"":true},""isScanStart"":{""BOOL"":true}}}]}}}]","","","","","","","","","","","","","","","","SAME_DAY"
